Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
553,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,80
412,Picture Of You,Boyzone,boy band,1997,117,92,76,-6,37,88,206,10,4,65
55,Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70
7,Back In The U.S.S.R. - Remastered 2009,The Beatles,british invasion,1968,142,97,48,-7,6,49,163,7,9,66
123,Heaven,Bryan Adams,album rock,1984,140,59,38,-7,12,34,243,5,3,76
285,Break My Stride,Matthew Wilder,new wave pop,1983,110,59,92,-11,9,83,184,20,6,81
251,Rhythm of the Rain,The Cascades,adult standards,1963,117,66,66,-8,14,67,146,63,4,59
408,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67
479,Detroit Rock City,KISS,album rock,1978,91,90,55,-7,29,46,216,4,7,68
556,Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76
373,Where Do Broken Hearts Go,Whitney Houston,dance pop,1987,62,39,46,-12,7,25,278,63,3,67
231,In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59
484,Ca' the Yowes,Shirley & Dolly Collins,british folk,2008,80,7,32,-10,27,32,208,76,3,41
470,Every Time You Go Away - Radio Edit,Paul Young,album rock,1991,164,72,57,-9,22,84,267,19,4,70
10,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,32,52,-10,14,13,243,63,3,63
426,Comment te dire adieu - It Hurts to Say Goodbye,Françoise Hardy,chanson,2005,124,45,73,-12,11,84,146,20,6,59
353,Mr. Blue Sky,Electric Light Orchestra,album rock,1977,178,34,39,-10,25,48,303,65,3,79
566,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,97,82,-11,39,77,284,26,6,64
306,Bailando,Paradisio,bubblegum dance,1997,133,94,65,-9,12,84,229,8,4,58
495,Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,82,66,-6,30,86,217,14,21,62
172,Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,100,70,-8,12,39,257,7,4,69
276,Material Girl,Madonna,dance pop,2009,137,88,74,-3,10,98,240,33,3,72
330,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,74
75,Higher Love - Single Version,Steve Winwood,album rock,2007,99,89,70,-7,50,92,252,6,4,66
506,Your Song,Elton John,glam rock,1990,128,33,55,-11,11,30,241,78,3,66
54,Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,58,78,-7,14,76,253,43,27,74
358,Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76
104,Don't Stop,ATB,german dance,1999,134,94,71,-5,32,57,221,15,4,56
203,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,94
592,Can't Take My Eyes Off You,Frankie Valli,adult standards,2017,124,78,58,-7,8,56,204,51,6,53
449,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,album rock,1974,118,44,48,-15,22,76,235,0,4,68
105,What the World Needs Now Is Love,Dionne Warwick,adult standards,2016,112,36,57,-10,14,40,190,92,4,51
237,The Boss,Diana Ross,adult standards,1979,124,91,64,-4,21,83,241,24,5,57
86,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,69,78,-3,3,64,205,2,3,66
79,Dancing With Myself,Billy Idol,album rock,1985,177,70,51,-11,30,91,360,2,8,68
570,Fly Me To The Moon (In Other Words),Frank Sinatra,adult standards,1962,119,26,67,-14,6,37,147,45,5,76
313,7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70
193,Old Town Road - Remix,Lil Nas X,country rap,2019,136,62,88,-6,11,64,157,5,10,89
164,I Got Lucky,Elvis Presley,adult standards,1971,93,39,73,-12,20,96,116,84,4,49
127,The Nights,Avicii,big room,2014,126,84,53,-5,25,65,177,2,4,80
462,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,77
49,Imagine - Remastered,John Lennon,album rock,1971,76,26,55,-12,9,17,188,91,3,77
243,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80
216,Everybody Needs Somebody To Love - Long Version,The Rolling Stones,album rock,1965,178,73,53,-8,11,80,303,26,7,52
140,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,2015,108,95,85,-4,10,91,433,76,19,50
180,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64
338,Barabajagal (with Jeff Beck Group),Donovan,art rock,1969,100,57,67,-17,8,68,200,10,7,42
141,It Takes Two,Marvin Gaye,classic soul,1966,151,48,52,-11,8,81,178,21,5,62
250,You Make Me Feel Like Dancing,Leo Sayer,adult standards,1976,96,73,73,-5,11,71,221,8,5,57
97,Boulder to Birmingham - Remastered,Emmylou Harris,country rock,1975,126,32,48,-11,10,31,213,78,3,59
199,Spanish Eyes,Al Martino,adult standards,1977,109,49,51,-9,9,49,167,36,3,49
365,Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73
334,Telegram Sam,T. Rex,album rock,1972,123,94,52,-4,9,44,226,2,12,40
364,Holiday,Madonna,dance pop,1983,118,70,81,-9,5,73,232,3,5,58
41,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77
248,Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71
349,No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65
446,We Will Rock You - Remastered,Queen,glam rock,1977,81,50,69,-7,26,48,122,68,12,79
287,No Time,The Guess Who,album rock,1971,128,48,48,-14,5,12,219,8,6,44
211,Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,2010,130,89,67,-6,10,80,215,4,3,44
290,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,art pop,1969,91,45,42,-16,16,78,221,58,4,54
547,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1984,81,61,58,-6,17,40,284,45,3,61
197,Are You Ready For Love? - Remastered,Elton John,glam rock,2017,117,75,80,-5,11,75,212,25,3,67
442,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79
169,Stumblin' In - 2017 Remaster,Suzi Quatro,classic uk pop,1978,129,72,76,-11,35,92,240,13,3,61
67,Brandy (You're a Fine Girl),Looking Glass,soft rock,1972,125,63,72,-11,13,83,187,40,6,73
587,Midnight Train to Georgia - Short Version,Gladys Knight & The Pips,adult standards,1973,177,42,44,-10,19,39,199,7,8,53
94,You'll Never Walk Alone,Gerry & The Pacemakers,adult standards,2017,114,43,45,-6,22,29,160,42,3,49
33,Piu bella cosa,Eros Ramazzotti,italian pop,2014,110,79,67,-5,11,62,265,8,3,58
487,Incomplete,Sisqo,dance pop,1999,119,44,75,-8,14,27,274,28,8,62
2,You Are Everything,Diana Ross,adult standards,1973,150,53,52,-10,14,50,190,3,5,56
356,Valerie,Steve Winwood,album rock,1982,116,53,72,-11,8,73,247,57,3,65
294,Yesterday - Remastered 2009,The Beatles,british invasion,1965,97,18,33,-12,9,32,126,88,3,78
584,Say You Say Me,Lionel Richie,adult standards,1986,128,41,64,-11,8,26,241,36,3,70
303,Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1983,122,65,57,-7,9,40,237,1,3,70
457,Please Don't Go,Double You,eurodance,1992,120,84,71,-12,3,49,200,6,4,59
246,It's A Shame,The Spinners,classic soul,1970,199,64,37,-12,12,71,190,9,6,64
526,Womanizer,Britney Spears,dance pop,2009,139,70,72,-5,9,24,224,7,6,74
474,Listen to the Music,The Doobie Brothers,album rock,1972,106,60,65,-13,7,91,227,22,3,75
21,We Are The World,U.S.A. For Africa,,1985,73,45,53,-15,7,29,427,19,4,69
458,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1981,137,52,53,-11,18,52,234,17,4,70
38,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,78
359,Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,69
490,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,82,87,-5,15,79,301,48,26,62
397,Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,72
161,Scared to Be Lonely,Martin Garrix,big room,2017,138,54,58,-8,26,20,221,9,6,81
252,Since You Been Gone,Rainbow,album rock,1997,121,60,73,-10,60,94,198,37,4,63
48,Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78
1,Don't Leave,Snakehips,dance pop,2017,122,70,66,-3,26,34,215,22,8,68
454,Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63
70,Insomnia - Radio Edit,Faithless,big beat,2010,127,92,71,-9,37,53,216,6,4,50
115,Break Your Heart,Taio Cruz,dance pop,2011,122,89,67,-5,24,68,185,0,3,54
9,I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,73
185,Whistle,Flo Rida,dance pop,2012,104,94,75,-6,29,74,225,2,5,75
42,Lady Writer,Dire Straits,album rock,1979,148,81,63,-9,7,96,225,10,3,61
263,In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77
157,Pinball Wizard,The Who,album rock,1969,124,72,54,-9,26,47,181,2,4,69
538,I Will Survive - Extended Version,Gloria Gaynor,disco,2019,116,85,76,-5,27,59,197,6,5,61
348,Sandstorm,Darude,eurodance,2000,136,97,53,-8,8,59,225,14,5,70
293,Laugh Laugh,The Beau Brummels,brill building pop,2006,129,68,49,-9,10,75,177,30,5,30
207,Only You,Yazoo,dance rock,1982,106,31,75,-17,8,85,194,33,4,65
549,No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79
238,Baby I Need Your Loving,Four Tops,adult standards,1965,121,69,63,-6,19,65,166,44,4,63
274,Shed a Light,Robin Schulz,dance pop,2016,122,79,48,-5,26,58,191,11,10,65
138,When the Children Cry,White Lion,album rock,1987,130,24,49,-14,7,38,259,67,3,61
267,No Sugar Tonight / New Mother Nature,The Guess Who,album rock,2000,101,83,51,-9,31,52,294,56,4,54
499,A Song for You,Donny Hathaway,chicago soul,1971,88,22,32,-13,25,7,326,82,4,65
311,Das Boot,U96,bubble trance,1992,123,88,64,-8,25,33,314,1,7,56
513,A Milli,Lil Wayne,hip hop,2008,151,70,67,-9,19,77,222,4,28,73
166,Drag Me Down,One Direction,boy band,2015,138,71,72,-6,5,61,192,10,4,68
333,Over Under Sideways Down - The Mono Album,The Yardbirds,album rock,1966,97,86,53,-11,31,39,143,29,8,46
307,Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,73
186,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,83
385,Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79
188,Show Me Love,Robin S,disco house,2017,120,72,82,-6,8,56,254,1,13,53
36,I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,76
439,One More Night - 2016 Remaster,Phil Collins,mellow gold,1985,136,44,53,-9,10,34,289,79,3,68
134,Five More Hours - Deorro x Chris Brown,Deorro,big room,2017,128,88,70,-3,82,50,212,3,22,69
297,I Want To Hold Your Hand - Remastered 2015,The Beatles,british invasion,2000,131,72,49,-6,31,87,146,39,5,74
14,A World Without Love,Peter And Gordon,brill building pop,2017,130,66,51,-10,11,75,161,23,6,37
564,Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,68
122,Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70
508,Young Girl,Gary Puckett & The Union Gap,adult standards,1968,119,54,41,-8,51,45,194,65,3,56
76,Surfin' U.S.A. - Remastered,The Beach Boys,baroque pop,1963,159,85,55,-6,11,97,149,66,4,71
213,Silence Is Golden,The Tremeloes,adult standards,1997,112,56,44,-7,24,58,191,6,3,53
196,Papa Don't Preach,Madonna,dance pop,1986,122,91,81,-9,2,97,345,31,4,63
488,Highway to Hell,AC/DC,album rock,1979,116,91,57,-5,16,42,208,6,13,83
430,Halo,BeyoncÃ©,dance pop,2008,80,72,51,-6,6,47,262,27,6,77
277,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,71,206,10,8,73
545,Love Lockdown,Kanye West,chicago rap,2008,120,52,76,-8,11,11,270,5,3,67
200,Take Me Home Country Roads,John Denver,adult standards,1971,82,40,46,-9,12,63,190,76,3,70
119,Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81
475,Angel of Mine - Radio Mix,Monica,dance pop,1998,90,56,59,-7,22,21,250,0,2,66
15,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
433,Hey Jude - Remastered 2009,The Beatles,british invasion,1973,145,55,40,-10,9,67,431,3,3,67
580,Unsteady,X Ambassadors,indie poptimism,2015,117,67,39,-6,12,20,194,18,6,77
102,Live Wire,The Meters,afrobeat,1969,114,77,68,-12,17,96,160,27,4,36
242,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,adult standards,1976,114,30,34,-11,9,19,185,93,3,65
58,Little Do You Know,Alex & Sierra,neo mellow,2014,146,29,50,-9,19,37,185,75,3,79
222,Radio Ga Ga - 2011 Mix,Queen,glam rock,1984,112,50,74,-8,19,66,348,18,4,76
309,My Way,Frank Sinatra,adult standards,1969,75,38,40,-7,12,23,277,70,3,72
28,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63
363,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78
456,You,Ten Sharp,,1991,174,90,41,-8,19,67,273,43,3,61
135,Smalltown Boy,Bronski Beat,dance rock,1984,135,58,69,-11,12,94,302,29,3,71
571,Waterloo Sunset - Mono Mix,The Kinks,album rock,1967,108,69,51,-7,17,42,194,16,2,65
505,Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70
414,End Of The Road,Boyz II Men,boy band,1991,150,43,64,-9,6,53,351,7,2,71
228,Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75
281,Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1991,172,36,46,-13,7,27,278,61,3,56
332,I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70
286,Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2017,105,73,74,-5,30,62,189,0,4,75
159,So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,77
40,Goin' Back,The Byrds,art rock,1968,116,45,50,-10,12,55,206,36,3,47
25,Tiny Dancer,Elton John,glam rock,1971,145,43,41,-11,15,28,377,38,3,79
89,More And More - Single Version,Captain Hollywood Project,bubblegum dance,1993,126,85,66,-12,9,71,254,23,3,60
184,Ophelia - Remastered 2000,The Band,album rock,1975,92,68,83,-7,33,95,213,68,3,61
512,Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,54,184,10,4,68
78,Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76
590,Moviestar,Harpo,classic uk pop,1976,119,79,55,-8,33,71,202,29,3,56
491,September Earth, Wind & Fire,disco,2014,126,83,69,-7,25,98,215,17,3,60
493,Dynamite,Taio Cruz,dance pop,2011,120,79,76,-4,3,87,203,0,8,56
398,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1989,140,44,54,-12,11,23,256,19,3,69
351,Hungry Eyes,Eric Carmen,adult standards,1997,110,55,71,-9,12,55,251,1,3,73
171,Wonderful Life,Black,dance rock,1987,106,52,72,-12,21,82,288,71,3,64
181,Every Breath You Take,The Police,album rock,2017,117,48,82,-9,8,72,252,56,3,67
270,Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63
482,Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,61,62,-7,9,45,236,0,2,68
85,Rock And Roll All Nite,KISS,album rock,1975,145,93,65,-6,5,90,169,5,10,75
453,Freed From Desire,Gala,eurodance,2007,129,86,70,-4,10,64,213,59,5,71
91,Knowing Me Knowing You,ABBA,europop,1976,107,73,55,-7,24,91,242,4,3,61
60,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,83
284,Listen to Your Heart,Roxette,europop,1988,86,58,54,-5,11,34,328,11,3,75
468,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83
56,The One That Got Away,Katy Perry,dance pop,2010,134,80,69,-4,16,88,227,0,4,66
429,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76
178,Telstar,The Tornados,british invasion,1962,146,75,20,-7,38,63,195,0,4,45
88,Let It Rock,Kevin Rudolf,dance pop,2008,113,78,61,-4,7,44,231,0,4,65
71,Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,-7,14,49,230,14,28,84
323,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,80
532,The Sun Ain't Gonna Shine Anymore,The Walker Brothers,brill building pop,1998,111,68,38,-7,24,43,195,22,4,52
249,It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,76
340,Moving too fast - Radio Edit,Artful Dodger,uk garage,2012,127,51,84,-11,3,52,238,9,5,57
73,Superstar,Jamelia,europop,2003,110,65,80,-7,4,82,215,5,4,67
289,Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64
496,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,2013,123,85,64,-8,5,79,247,2,3,70
182,I Will Always Love You - Film Version,Whitney Houston,dance pop,2017,133,28,34,-10,10,12,275,61,4,57
382,Little Bit Of Rain,Karen Dalton,alternative country,1969,174,6,43,-22,10,36,157,93,4,56
424,So Much In Love,The Tymes,beach music,1963,76,49,55,-10,45,44,140,79,3,45
460,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,80
585,This Diamond Ring,Gary Lewis & The Playboys,adult standards,2011,133,61,63,-11,14,78,137,33,3,41
500,Release Me,Agnes,dance pop,2009,128,92,62,-3,11,72,256,1,3,65
209,Cheri Cheri Lady,Modern Talking,eurodance,1985,114,62,68,-14,35,85,226,46,3,66
560,Everybody Knows This Is Nowhere - 2009 Remaster,Neil Young,album rock,1969,158,64,52,-9,42,85,149,2,3,52
51,Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,93,66,-7,19,84,221,1,4,62
371,Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,68
96,Love Really Hurts Without You,Billy Ocean,dance rock,2016,141,90,52,-4,10,96,179,0,3,66
404,That's What Friends Are For,Dionne Warwick,adult standards,1985,120,24,68,-16,7,17,256,51,3,66
143,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,122,81,87,-4,8,97,199,38,6,82
466,Dancing with Tears in My Eyes,Ultravox,art rock,1984,144,91,59,-8,60,93,244,15,4,59
402,Sunny,Boney M.,disco,1976,122,87,65,-6,13,80,242,9,11,64
101,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78
341,When I Look Into Your Eyes,Firehouse,album rock,2010,147,61,39,-8,16,25,240,0,3,53
62,Do It Again,Pia Mia,dance pop,2015,96,56,71,-7,9,41,208,3,5,74
173,Kids In America,Kim Wilde,dance pop,1981,160,78,56,-4,12,31,206,10,5,68
111,Nikita,Elton John,glam rock,1985,87,66,63,-9,7,75,343,12,3,68
